Report_Name	Dataset Master Report
Report_ID	DSR
Release	RD1
Exceptions	3040: Partial Data Returned
Reporting_Period	2018-03-01 to 2018-03-31
Created	2018-03-12
Created_By	Dash

Dataset_Title	Publisher	Publisher_ID	Platform	Creators	Publication_Date	Dataset_Version	DOI	Other_ID	URI	YOP	Access_Method	Metric_Type	Country	Reporting_Period_Total	Reporting_Period_Volume
Supporting data for Loik et al. 2017 Wavelength-Selective Solar Photovoltaic Systems: Powering greenhouses for plant growth at the food-energy-water nexus. Earth's Future	UC Santa Cruz	grid.205975.c	Dash	Michael Loik	2017-08-18		10.7291/D10T0W		https://dash.library.ucsc.edu/stash/dataset/doi:10.7291/D10T0W	2017	Regular	Unique_Dataset_Investigations	RU	1	
#Charlottesville	UC Riverside	grid.266097.c	Dash	Bergis Jules	2017-08-12		10.6086/D10T0B		https://dash.ucr.edu/stash/dataset/doi:10.6086/D10T0B	2017	Regular	Total_Dataset_Investigations	GB	1	
#Charlottesville	UC Riverside	grid.266097.c	Dash	Bergis Jules	2017-08-12		10.6086/D10T0B		https://dash.ucr.edu/stash/dataset/doi:10.6086/D10T0B	2017	Regular	Unique_Dataset_Investigations	GB	1	
#Charlottesville	UC Riverside	grid.266097.c	Dash	Bergis Jules	2017-08-12		10.6086/D10T0B		https://dash.ucr.edu/stash/dataset/doi:10.6086/D10T0B	2017	Regular	Total_Dataset_Investigations	US	3	
#Charlottesville	UC Riverside	grid.266097.c	Dash	Bergis Jules	2017-08-12		10.6086/D10T0B		https://dash.ucr.edu/stash/dataset/doi:10.6086/D10T0B	2017	Regular	Unique_Dataset_Investigations	US	3	
#Charlottesville	UC Riverside	grid.266097.c	Dash	Bergis Jules	2017-08-12		10.6086/D10T0B		https://dash.ucr.edu/stash/dataset/doi:10.6086/D10T0B	2017	Regular	Total_Dataset_Investigations	CA	2	
#Charlottesville	UC Riverside	grid.266097.c	Dash	Bergis Jules	2017-08-12		10.6086/D10T0B		https://dash.ucr.edu/stash/dataset/doi:10.6086/D10T0B	2017	Regular	Unique_Dataset_Investigations	CA	2	
Sea Level Rise Impacts on Wastewater Treatment Systems along the U.S. Coasts	UC Berkeley	grid.47840.3f	Dash	Michelle Hummel;Matthew Berry;Mark Stacey	2018-03-07		10.6078/D1N955		https://dash.berkeley.edu/stash/dataset/doi:10.6078/D1N955	2018	Regular	Total_Dataset_Investigations	US	1	
Sea Level Rise Impacts on Wastewater Treatment Systems along the U.S. Coasts	UC Berkeley	grid.47840.3f	Dash	Michelle Hummel;Matthew Berry;Mark Stacey	2018-03-07		10.6078/D1N955		https://dash.berkeley.edu/stash/dataset/doi:10.6078/D1N955	2018	Regular	Unique_Dataset_Investigations	US	1	
Sea Level Rise Impacts on Wastewater Treatment Systems along the U.S. Coasts	UC Berkeley	grid.47840.3f	Dash	Michelle Hummel;Matthew Berry;Mark Stacey	2018-03-07		10.6078/D1N955		https://dash.berkeley.edu/stash/dataset/doi:10.6078/D1N955	2018	Regular	Total_Dataset_Requests	US	1	72148737
Sea Level Rise Impacts on Wastewater Treatment Systems along the U.S. Coasts	UC Berkeley	grid.47840.3f	Dash	Michelle Hummel;Matthew Berry;Mark Stacey	2018-03-07		10.6078/D1N955		https://dash.berkeley.edu/stash/dataset/doi:10.6078/D1N955	2018	Regular	Unique_Dataset_Requests	US	1	72148737
#BlackTheory	UC Riverside	grid.266097.c	Dash	Bergis Jules	2017-10-28		10.6086/D1JD4P		https://dash.ucr.edu/stash/dataset/doi:10.6086/D1JD4P	2017	Regular	Total_Dataset_Investigations	US	1	
#BlackTheory	UC Riverside	grid.266097.c	Dash	Bergis Jules	2017-10-28		10.6086/D1JD4P		https://dash.ucr.edu/stash/dataset/doi:10.6086/D1JD4P	2017	Regular	Unique_Dataset_Investigations	US	1	
#AmplifyWomen	UC Riverside	grid.266097.c	Dash	Bergis Jules	2017-10-14		10.6086/D1Q66X		https://dash.ucr.edu/stash/dataset/doi:10.6086/D1Q66X	2017	Regular	Total_Dataset_Investigations	US	3	
#AmplifyWomen	UC Riverside	grid.266097.c	Dash	Bergis Jules	2017-10-14		10.6086/D1Q66X		https://dash.ucr.edu/stash/dataset/doi:10.6086/D1Q66X	2017	Regular	Unique_Dataset_Investigations	US	3	
#AmplifyWomen	UC Riverside	grid.266097.c	Dash	Bergis Jules	2017-10-14		10.6086/D1Q66X		https://dash.ucr.edu/stash/dataset/doi:10.6086/D1Q66X	2017	Regular	Total_Dataset_Investigations		4	
#AmplifyWomen	UC Riverside	grid.266097.c	Dash	Bergis Jules	2017-10-14		10.6086/D1Q66X		https://dash.ucr.edu/stash/dataset/doi:10.6086/D1Q66X	2017	Regular	Unique_Dataset_Investigations		1	
#AmplifyWomen	UC Riverside	grid.266097.c	Dash	Bergis Jules	2017-10-14		10.6086/D1Q66X		https://dash.ucr.edu/stash/dataset/doi:10.6086/D1Q66X	2017	Regular	Total_Dataset_Requests		2	413972
